FL_DATE,FLIGHTS
2012-01,479029
2012-02,460165
2012-03,516218
2012-04,500257
2012-05,513944
2012-06,521147
2012-07,537421
2012-08,533694
2012-09,486246
2012-10,500630
2012-11,482901
2012-12,486248
2013-01,501958
2013-02,458417
2013-03,543379
2013-04,526934
2013-05,542404
2013-06,542289
2013-07,562024
2013-08,557384
2013-09,506394
2013-10,532081
2013-11,498214
2013-12,501992
2014-01,441097
2014-02,406883
2014-03,493910
2014-04,477937
2014-05,489765
2014-06,492484
2014-07,512490
2014-08,501542
2014-09,462713
2014-10,485805
2014-11,457753
2014-12,470448
2015-01,457986
2015-02,408674
2015-03,493310
2015-04,480631
2015-05,491299
2015-06,494777
2015-07,515912
2015-08,505484
2015-09,462871
2015-10,483711
2015-11,463373
2015-12,471167
2016-01,434162
2016-02,417066
2016-03,474389
2016-04,457521
2016-05,476849
2016-06,482655
2016-07,493148
2016-08,491454
2016-09,453361
2016-10,468079
2016-11,449628
2016-12,453485
2017-01,441131
2017-02,404205
2017-03,480070
2017-04,460931
2017-05,482444
2017-06,488887
2017-07,503313
2017-08,499444
2017-09,443384
2017-10,476494
2017-11,452744
2017-12,458881
2018-01,552949
2018-02,511755
2018-03,594707
2018-04,589795
2018-05,609374
2018-06,615499
2018-07,634216
2018-08,632320
2018-09,577617
2018-10,611616
2018-11,579924
2018-12,587090
2019-01,567259
2019-02,517920
2019-03,619510
2019-04,597535
2019-05,623378
2019-06,623464
2019-07,646101
2019-08,647163
2019-09,595963
2019-10,630842
2019-11,598007
2019-12,619970
2020-01,600418
2020-02,569133
2020-03,538042
2020-04,183304
2020-05,169004
2020-06,222919
2020-07,350075
2020-08,372794
2020-09,321542
2020-10,350246
